id,Event Name,Location,Address,Organizer Name,Event Date,Event Time,Event Type,City
6b80aabe-c151-484f-a0cb-c486d914bbfd,Smart City Meeting,Main Conference Room,849 Smart St,Nina Campbell,2024-12-19,15:00,Meeting,Karachi
ec6d24d7-1fd9-4fce-8f79-02722c39fda7,AI,Healthcare Center,876 Elm St,Michael Scott,2024-12-23,10:30,Studying,Lahore
313afffe-4cf5-4372-90e5-d53f30b509dd,Blockchain Summit,Grand Hotel,789 Parkway,Tom Lee,2024-12-23,09:00,Conference,Islamabad
f01a01db-2a0c-4011-bea7-8b6bee4f5cfc,Mobile App Expo,Exhibition Center,101 Broadway,Alice Johnson,2024-12-21,14:00,Conference,Rawalpindi
b0074f88-5882-47d9-9bb3-daa832a06140,ReactJS and NextJs Workshop,Tech Hub,202 Innovation Rd,Bob Miller,2024-12-25,11:00,Meeting,Faisalabad
595c08f7-cb5a-47d5-9991-e14c5de83d4a,Tech Career Fest,Convention Center,456 Career Rd,Amy Clark,2024-12-29,15:00,Other,Karachi
9bf86a16-2449-4aa7-a315-7232e1ebd416,Tech Career,Convention Center,456 Career Rd,Amy Clark,2024-12-29,14:00,Studying,Islamabad
a19ba291-c77f-41ec-b018-9e3bcb4b9296,Tech Career Fair,Convention Center,456 Career Rd,Amy Clark,2024-12-29,14:00,Conference,Lahore
c5721587-adbc-4fc6-8d2e-1c358b11d995,Big Data Symposium,Ocean View Hall,789 West Rd,Henry Garcia,2024-12-18,13:00,Conference,Multan
2a76ae16-5f82-414b-8725-483bb6d14cc9,Tech Talk,City Square,432 Oak Ave,Grace Clark,2024-12-19,17:00,Meeting,Peshawar
13daeb16-d08f-4e11-873b-e13926320ce6,AI in Data Science,Healthcare Center,876 Elm St,Michael Scott,2024-12-24,10:30,Conference,Karachi
6ae7d6fe-2f90-4896-854f-c03b14309340,Cloud Computing Workshop,Tech Hub,567 Cloud Ave,Sarah Miller,2024-12-21,08:30,Workshop,Lahore
5591b172-f911-4fd4-ba81-c34661b9234d,React Native Meetup,Innovation Park,654 Startup Dr,Daniel Green,2024-12-29,18:00,Meeting,Rawalpindi
242ddbc3-198f-43c0-b8b7-5f974d310c0b,IoT for Smart Cities,Tech Park,210 Smart Ln,Isla White,2024-12-23,11:30,Conference,Islamabad
73bc2391-91c5-47cf-8c4c-a569ada87781,Data Science Summit,Convention Center,132 Data Rd,James Brown,2024-12-22,09:30,Conference,Faisalabad
6fab585b-e1a6-4c85-85a8-2aabfca03cbb,Blockchain for Business,Conference Room,303 Web St,Patricia Smith,2024-12-20,16:00,Workshop,Quetta
9cf7e875-3a25-4844-bf8a-f9ef3a94fc75,AI for Good,Central Park,404 Idea Ln,Jessica Young,2024-12-19,12:00,Meeting,Karachi
ef156002-4898-49ce-ab2e-9ba8e45f97e8,Design Thinking Workshop,Innovation Center,234 Design Ave,Kate Wilson,2024-12-25,10:00,Workshop,Lahore
340a60f7-1f85-425c-bb11-1748520c2ac1,DevOps Meetup,Startup Hub,876 DevOps Blvd,Mike Lee,2024-12-24,14:00,Meeting,Peshawar
810ed3be-1286-4836-b0a1-bd99eca41903,Tech in Education,University Hall,987 College Rd,Richard Taylor,2024-12-28,13:00,Conference,Islamabad
9c4d06c9-007d-4a75-b713-4f1cbb3cd57a,Women in Tech,Main Auditorium,1023 Women’s Rd,Charlotte King,2024-12-21,19:30,Meeting,Rawalpindi
2594860a-0fb2-42dc-8e35-35960a4fd178,AR/VR Expo,Expo Center,214 Vision St,Jacob Perez,2024-12-23,11:00,Conference,Lahore
52a2ccb3-8c74-49cc-804e-5df8d86ae3f6,Futuristic Tech Conference,Innovation Space,900 Future Rd,John Lee,2024-12-22,16:00,Conference,Multan
e016917c-bb16-410b-a7a6-10678e1e4154,Machine Learning Workshop,Tech Lab,456 Tech Ln,David Moore,2024-12-30,09:00,Workshop,Karachi
f6beb46a-9a38-482d-95bf-8dbf0276e4d8,Digital Transformation Forum,Conference Hall,321 Digital Rd,Rebecca Harris,2024-12-26,10:30,Conference,Islamabad
b2a58531-d092-40a7-8203-c8a25f81f86b,Tech Leadership Summit,Event Hall,654 Leader Ln,Paul Evans,2024-12-20,08:30,Conference,Lahore
e4a8cf60-d4d3-44bd-baa4-b163f6e522c1,Cloud Computing Forum,Global Center,432 Cloud Blvd,William Lee,2024-12-24,14:00,Conference,Peshawar
0495e056-ccce-41f9-b168-2648e30efff6,Smart Cities Conference,Main Conference Room,789 Smart St,Nina Campbell,2024-12-19,13:00,Conference,Quetta
ef13701f-166e-4372-ae81-820949236392,Dev Fest,Tech Lab,456 Tech Ln,David Moore,Mon Dec 30 2024,09:00 AM,Conference,Karachi
eac6db94-14ce-4e32-9c2a-36e99b2eedf3,ML Workshop,"Central Park ",404 Idea Ln,Jessica Young,Thu Dec 29 2024,12:00 PM,Conference,Karachi
e3c253e9-79b3-480c-adda-afc36c92b0fa,Career Fest,Central Park,404 Idea Ln,Jessica Young,Sun Dec 20 2024,12:00 PM,Studying," Karachi"
